Orig_subID,Orig_ses,Original_file,Renamed_subID,Renamed_ses,Renamed_file,nvols,type,image_folder,image_type
sub-MILO,ses-20220308,sub-MILO_ses-20220308_run-1_T1w.nii.gz,sub-001,ses-014,sub-001_ses-014_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220308,sub-MILO_ses-20220308_run-1_T1w.json,sub-001,ses-014,sub-001_ses-014_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220308,sub-MILO_ses-20220308_run-2_T1w.nii.gz,sub-001,ses-014,sub-001_ses-014_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220308,sub-MILO_ses-20220308_run-2_T1w.json,sub-001,ses-014,sub-001_ses-014_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220308,sub-MILO_ses-20220308_T2w.nii.gz,sub-001,ses-014,sub-001_ses-014_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220308,sub-MILO_ses-20220308_T2w.json,sub-001,ses-014,sub-001_ses-014_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_run-1_T1w.nii.gz,sub-001,ses-015,sub-001_ses-015_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_run-1_T1w.json,sub-001,ses-015,sub-001_ses-015_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_run-2_T1w.nii.gz,sub-001,ses-015,sub-001_ses-015_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_run-2_T1w.json,sub-001,ses-015,sub-001_ses-015_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_T2w.nii.gz,sub-001,ses-015,sub-001_ses-015_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220322,sub-MILO_ses-20220322_T2w.json,sub-001,ses-015,sub-001_ses-015_run-1_T2w.json,1,json,anat,T2w
